,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2017-04-08,6313.0,79972.0,32244.0,0.0,3000.0,9478.0,23979.0,99866.0,0.0,28038.0,0.0,1014586.0,39980.0,5234.0,28425.0
2017-04-09,6621.0,34533.0,19187.0,0.0,3025.0,5380.0,35894.0,92725.0,0.0,20390.0,0.0,993546.0,39190.0,5564.0,27618.0
2017-04-10,6649.0,87705.0,33871.0,0.0,3173.0,13452.0,16309.0,102943.0,0.0,24501.0,0.0,1044193.0,36097.0,5329.0,44460.0
2017-04-11,7583.0,116550.0,34622.0,0.0,3016.0,18086.0,8761.0,105517.0,0.0,24429.0,0.0,1062416.0,35343.0,5332.0,37844.0
2017-04-12,7029.0,120164.0,32212.0,0.0,2916.0,14774.0,10860.0,102375.0,0.0,22226.0,0.0,1074906.0,40319.0,5373.0,49719.0
2017-04-13,7034.0,121202.0,33875.0,0.0,2973.0,21785.0,7839.0,100936.0,0.0,24871.0,0.0,1081983.0,38349.0,5412.0,30933.0
2017-04-14,7037.0,63973.0,31542.0,0.0,3001.0,20830.0,12314.0,97262.0,0.0,19034.0,0.0,1085836.0,34491.0,5273.0,26689.0
2017-04-15,7070.0,39252.0,569.0,312.0,3155.0,13365.0,19801.0,91147.0,0.0,16900.0,0.0,999224.0,22142.0,5331.0,52993.0
2017-04-16,7113.0,32344.0,0.0,142.0,3109.0,5455.0,36762.0,87895.0,0.0,13194.0,0.0,933003.0,31326.0,5670.0,52803.0
2017-04-17,7147.0,22699.0,0.0,149.0,3137.0,7171.0,32254.0,89515.0,0.0,13817.0,0.0,1019243.0,34721.0,5538.0,58440.0
2017-04-18,8949.0,104576.0,0.0,352.0,3162.0,18456.0,9930.0,96690.0,0.0,18955.0,0.0,1088980.0,40187.0,5154.0,68682.0
2017-04-19,8700.0,133937.0,15136.0,208.0,3164.0,17828.0,7379.0,95566.0,0.0,22457.0,0.0,1081569.0,42187.0,5133.0,87712.0
2017-04-20,9277.0,140886.0,21923.0,0.0,3163.0,20850.0,7746.0,88480.0,0.0,21184.0,0.0,1083642.0,43865.0,5216.0,54251.0
2017-04-21,8741.0,140870.0,33882.0,0.0,3510.0,16721.0,5398.0,86866.0,0.0,21474.0,0.0,1096147.0,43456.0,5313.0,28496.0
