Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2019-08-08,135161.0,145600.0,9366.0,15980.0
SE,2019-08-09,144141.0,145465.0,10494.0,10328.0
SE,2019-08-10,63719.0,145093.0,10647.0,56768.0
SE,2019-08-11,67100.0,144681.0,11716.0,76399.0
SE,2019-08-12,134339.0,144756.0,11069.0,59331.0
SE,2019-08-13,135312.0,146843.0,9775.0,41764.0
SE,2019-08-14,125731.0,158876.0,10610.0,47955.0
SE,2019-08-15,123404.0,165562.0,10746.0,39388.0
SE,2019-08-16,135094.0,165909.0,11565.0,29848.0
SE,2019-08-17,69067.0,168413.0,11269.0,69211.0
SE,2019-08-18,74611.0,169510.0,11368.0,52360.0
SE,2019-08-19,118943.0,173947.0,11840.0,63150.0
SE,2019-08-20,133024.0,179212.0,12439.0,56084.0
SE,2019-08-21,145744.0,170140.0,12004.0,38287.0
SE,2019-08-22,129308.0,177446.0,11973.0,47263.0
SE,2019-08-23,117916.0,181909.0,12469.0,57336.0
SE,2019-08-24,91018.0,186548.0,11840.0,23268.0
SE,2019-08-25,66448.0,187322.0,12273.0,41070.0
SE,2019-08-26,157079.0,175266.0,11183.0,28038.0
SE,2019-08-27,160069.0,172141.0,10775.0,27769.0
SE,2019-08-28,167530.0,155607.0,10131.0,37761.0
SE,2019-08-29,144393.0,158435.0,8500.0,53656.0
SE,2019-08-30,146660.0,142100.0,9455.0,52386.0
SE,2019-08-31,98598.0,140309.0,10817.0,58043.0
SE,2019-09-01,73916.0,140523.0,10276.0,79416.0
SE,2019-09-02,155381.0,141557.0,10827.0,49686.0
SE,2019-09-03,160588.0,141918.0,11020.0,52245.0
SE,2019-09-04,171394.0,141964.0,11628.0,46653.0
SE,2019-09-05,130078.0,141762.0,12003.0,81240.0
SE,2019-09-06,144346.0,142406.0,12888.0,67686.0
SE,2019-09-07,144007.0,142235.0,12358.0,35041.0
SE,2019-09-08,152078.0,142216.0,10370.0,14658.0
SE,2019-09-09,201489.0,141884.0,10510.0,24653.0
SE,2019-09-10,176300.0,141651.0,9960.0,36396.0
SE,2019-09-11,143955.0,141439.0,10416.0,72216.0
SE,2019-09-12,147219.0,141437.0,11669.0,90504.0
SE,2019-09-13,122544.0,141782.0,11122.0,103319.0
